playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,team,opponent,gameDate,gameTime,gameId,start,shutout,win
8475809,41,S. Wedgewood,G,15/17,4/5,1/1,20/23,0.87,2,1,0,0,3,3383,DAL,TOR,2023-10-26,Thursday 08:00 PM,2023020108,1,0,0
8474593,25,J. Markstrom,G,25/26,7/7,0/1,32/34,0.941,1,0,1,0,2,3565,CGY,STL,2023-10-26,Thursday 09:00 PM,2023020109,1,0,0
8479973,74,S. Skinner,G,25/27,4/5,0/0,29/32,0.906,2,1,0,0,3,3600,EDM,NYR,2023-10-26,Thursday 09:00 PM,2023020110,1,0,0
8478499,33,A. Hill,G,20/23,0/1,0/0,20/24,0.833,3,1,0,0,4,3770,VGK,CHI,2023-10-27,Friday 06:00 PM,2023020111,1,0,1
8477293,32,A. Raanta,G,16/16,3/3,1/1,20/20,1.0,0,0,0,0,0,3600,CAR,SJS,2023-10-27,Friday 07:00 PM,2023020112,1,1,4
8477970,41,V. Vanecek,G,20/24,2/2,1/1,23/27,0.852,4,0,0,0,4,3600,NJD,BUF,2023-10-27,Friday 07:00 PM,2023020113,1,0,4
8475311,35,D. Kuemper,G,24/26,13/13,2/2,39/41,0.951,2,0,0,0,2,3900,WSH,MIN,2023-10-27,Friday 07:00 PM,2023020114,1,0,4
8478872,70,K. Vejmelka,G,28/32,7/8,1/1,36/41,0.878,4,1,0,0,5,3580,ARI,LAK,2023-10-27,Friday 10:00 PM,2023020115,1,0,0
8477967,35,T. Demko,G,15/15,6/6,1/1,22/22,1.0,0,0,0,0,0,3600,VAN,STL,2023-10-27,Friday 10:00 PM,2023020116,1,1,4
8481035,33,S. Ersson,G,15/19,2/4,1/2,18/25,0.72,4,2,1,0,7,3572,PHI,ANA,2023-10-28,Saturday 01:00 PM,2023020117,1,0,0
8475683,72,S. Bobrovsky,G,30/32,1/1,0/0,31/33,0.939,2,0,0,0,2,3600,FLA,SEA,2023-10-28,Saturday 06:00 PM,2023020118,1,0,4
8480280,1,J. Swayman,G,18/19,2/2,3/3,23/24,0.958,1,0,0,0,1,3600,BOS,DET,2023-10-28,Saturday 07:00 PM,2023020119,1,0,4
8477484,30,S. Martin,G,25/27,7/7,0/0,32/34,0.941,2,0,0,0,2,3428,CBJ,NYI,2023-10-28,Saturday 07:00 PM,2023020120,1,0,0
8474596,34,J. Allen,G,39/42,2/2,1/1,42/45,0.933,3,0,0,0,3,3900,MTL,WPG,2023-10-28,Saturday 07:00 PM,2023020121,1,0,4
8477424,74,J. Saros,G,27/28,3/4,3/3,33/35,0.943,1,1,0,0,2,3733,NSH,TOR,2023-10-28,Saturday 07:00 PM,2023020122,1,0,4
8477465,35,T. Jarry,G,4/6,2/3,0/0,6/9,0.667,2,1,0,0,3,1528,PIT,OTT,2023-10-28,Saturday 07:00 PM,2023020123,1,0,0
8476433,45,M. Hellberg,G,14/16,1/1,0/0,15/17,0.882,2,0,0,0,2,2072,PIT,OTT,2023-10-28,Saturday 07:00 PM,2023020123,0,0,0
